id,eventId,tagId
1,88178642,1801
2,88178643,1801
3,88178644,1801
4,88178645,1802
5,88178646,702
6,88178646,1801
7,88178663,702
8,88178663,1801
9,88178648,1802
10,88178667,1401
11,88178667,1802
12,88178649,402
13,88178649,1401
14,88178649,1203
15,88178649,1801
16,88178674,1203
17,88178674,1801
18,88178677,1801
19,88178679,1801
20,88178684,1302
21,88178652,1802
22,88178690,1801
23,88178653,701
24,88178653,1802
25,88178692,703
26,88178692,1801
27,88178693,1801
28,88178694,1801
29,88178695,1801
30,88178700,1802
31,88178655,1401
32,88178702,1802
33,88178657,1401
34,88178657,1802
35,88178703,1302
36,88178704,1401
37,88178659,1802
38,88178705,1801
39,88178706,1801
40,88178707,1801
41,88178708,1801
42,88178710,701
43,88178710,1802
44,88178660,703
45,88178660,1801
46,88178661,702
47,88178661,1801
48,88178711,702
49,88178711,1801
50,88178662,1801
51,88178664,1802
52,88178714,1401
53,88178666,1801
54,88178668,1802
55,88178719,1802
56,88178670,1401
57,88178670,1801
58,88178671,1802
59,88178722,402
60,88178722,201
61,88178722,1216
62,88178722,1802
63,88178676,702
64,88178676,1801
65,88178728,702
66,88178728,1801
67,88178730,1801
68,88178731,701
69,88178731,1802
70,88178680,703
71,88178680,1801
72,88178732,1802
73,88178681,1401
74,88178681,1801
75,88178682,1801
76,88178683,1802
77,88178737,1802
78,88178689,1401
79,88178689,1802
80,88178743,801
81,88178743,1801
82,88178745,702
83,88178745,1801
84,88178696,702
85,88178696,1801
86,88178751,402
87,88178751,201
88,88178751,1201
89,88178751,1801
90,88178697,1201
91,88178697,1801
92,88178761,702
93,88178761,1801
94,88178698,702
95,88178698,1801
96,88178762,702
97,88178762,1801
98,88178699,702
99,88178699,1801
100,88373456,302
