id,matchId,teamId,side,coachId,score,scoreHT,scoreET,scoreP,hasFormation
1,2500089,1646,home,8880,1,1,0,0,1
2,2500089,1659,away,8934,2,0,0,0,1
3,2500090,1628,home,8357,2,0,0,0,1
4,2500090,1627,away,0,0,0,0,0,1
5,2500091,1609,away,7845,1,1,0,0,1
6,2500091,1673,home,18572,0,0,0,0,1
7,2500092,1651,away,8093,0,0,0,0,1
8,2500092,1612,home,14791,4,2,0,0,1
9,2500093,1644,away,93112,0,0,0,0,1
10,2500093,1611,home,3295,1,1,0,0,1
11,2500094,1613,home,210700,3,1,0,0,1
12,2500094,1610,away,272869,0,0,0,0,1
13,2500095,1625,away,267136,1,0,0,0,1
14,2500095,1619,home,9054,0,0,0,0,1
15,2500096,10531,home,32573,1,1,0,0,1
16,2500096,1639,away,8329,2,2,0,0,1
17,2500097,1631,away,209010,4,2,0,0,1
18,2500097,1624,home,3782,5,1,0,0,1
19,2500098,1623,away,8541,1,0,0,0,1
20,2500098,1633,home,8235,3,1,0,0,1
21,2500028,1633,home,8235,0,0,0,0,1
22,2500028,1611,away,3295,0,0,0,0,1
23,2500024,1651,away,8093,1,1,0,0,1
24,2500024,1625,home,267136,3,2,0,0,1
25,2500027,1613,away,210700,0,0,0,0,1
26,2500027,1624,home,292863,1,0,0,0,1
27,2500022,1609,away,7845,1,0,0,0,1
28,2500022,1631,home,209010,3,1,0,0,1
29,2500062,1610,home,272869,1,0,0,0,1
30,2500062,1673,away,18572,1,0,0,0,1
31,2500026,10531,home,32573,0,0,0,0,1
32,2500026,1619,away,9054,1,0,0,0,1
33,2500080,1609,home,7845,5,2,0,0,1
34,2500080,1646,away,8880,0,0,0,0,1
35,2500082,1612,away,14791,0,0,0,0,1
36,2500082,1610,home,20454,1,1,0,0,1
37,2500085,1625,home,267136,0,0,0,0,1
38,2500085,1673,away,18572,0,0,0,0,1
39,2500083,1623,home,8541,1,0,0,0,1
40,2500083,1619,away,9054,1,0,0,0,1
41,2500079,10531,away,32573,0,0,0,0,1
42,2500079,1659,home,8934,1,1,0,0,1
43,2500084,1631,home,209010,0,0,0,0,1
44,2500084,1633,away,8235,2,1,0,0,1
45,2500087,1644,home,93112,2,2,0,0,1
46,2500087,1613,away,210700,1,0,0,0,1
47,2500088,1627,home,0,1,0,0,0,1
48,2500088,1624,away,3782,0,0,0,0,1
49,2500086,1639,home,8329,1,1,0,0,1
50,2500086,1628,away,8357,2,0,0,0,1
51,2500081,1651,home,8093,1,0,0,0,1
52,2500081,1611,away,3295,0,0,0,0,1
53,2500077,1644,away,93112,0,0,0,0,1
54,2500077,1624,home,3782,2,1,0,0,1
55,2500073,1609,away,7845,1,0,0,0,1
56,2500073,1611,home,3295,2,1,0,0,1
57,2500078,1633,home,8235,1,1,0,0,1
58,2500078,1625,away,267136,4,2,0,0,1
59,2500076,10531,home,0,0,0,0,0,1
60,2500076,1610,away,272869,1,1,0,0,1
61,2500069,1646,home,8880,0,0,0,0,1
62,2500069,1651,away,8093,0,0,0,0,1
63,2500070,1631,away,209010,0,0,0,0,1
64,2500070,1628,home,8357,5,2,0,0,1
65,2500071,1623,away,8541,2,1,0,0,1
66,2500071,1673,home,18572,0,0,0,0,1
67,2500074,1627,away,0,1,1,0,0,1
68,2500074,1613,home,210700,0,0,0,0,1
69,2500075,1659,away,8934,1,1,0,0,1
70,2500075,1619,home,9054,2,1,0,0,1
71,2500072,1639,away,0,0,0,0,0,1
72,2500072,1612,home,0,0,0,0,0,1
73,2500063,1623,home,8541,1,0,0,0,1
74,2500063,1613,away,210700,0,0,0,0,1
75,2500065,10531,away,32573,0,0,0,0,1
76,2500065,1625,home,267136,5,2,0,0,1
77,2500060,1609,home,7845,4,0,0,0,1
78,2500060,1633,away,8235,1,0,0,0,1
79,2500066,1639,home,8329,1,1,0,0,1
80,2500066,1646,away,8880,1,0,0,0,1
81,2500067,1644,home,93112,0,0,0,0,1
82,2500067,1628,away,8357,0,0,0,0,1
83,2500068,1627,home,0,2,0,0,0,1
84,2500068,1612,away,14791,2,1,0,0,1
85,2500020,1646,home,8880,1,0,0,0,1
86,2500020,1610,away,272869,2,1,0,0,1
87,2500064,1631,home,209010,0,0,0,0,1
88,2500064,1619,away,9054,0,0,0,0,1
89,2500059,1659,home,8934,0,0,0,0,1
90,2500059,1611,away,3295,2,1,0,0,1
91,2500061,1651,home,8093,1,0,0,0,1
92,2500061,1624,away,292863,1,0,0,0,1
93,2500058,1639,away,8329,1,0,0,0,1
94,2500058,1633,home,8235,1,0,0,0,1
95,2500053,1627,away,0,1,0,0,0,1
96,2500053,1611,home,3295,0,0,0,0,1
97,2500054,1609,away,7845,1,1,0,0,1
98,2500054,1613,home,210700,2,1,0,0,1
99,2500057,1625,away,267136,3,2,0,0,1
100,2500057,1624,home,3782,1,1,0,0,1
