matchId,competitionId,seasonId,roundId,gameweek,status,dateutc,date,venue,label,winner,groupName,duration
1694390,102,9291,4165470,1,Played,2016-06-10 19:00:00,"June 10, 2016 at 9:00:00 PM GMT+2",Stade de France,"France - Romania, 2 - 1",4418,Group A,Regular
1694391,102,9291,4165470,1,Played,2016-06-11 13:00:00,"June 11, 2016 at 3:00:00 PM GMT+2",Stade Bollaert-Delelis,"Albania - Switzerland, 0 - 1",6697,Group A,Regular
1694392,102,9291,4165470,2,Played,2016-06-15 16:00:00,"June 15, 2016 at 6:00:00 PM GMT+2",Parc des Princes,"Romania - Switzerland, 1 - 1",0,Group A,Regular
1694393,102,9291,4165470,2,Played,2016-06-15 19:00:00,"June 15, 2016 at 9:00:00 PM GMT+2",Stade V\u00e9lodrome,"France - Albania, 2 - 0",4418,Group A,Regular
1694394,102,9291,4165470,3,Played,2016-06-19 19:00:00,"June 19, 2016 at 9:00:00 PM GMT+2",Stade Pierre-Mauroy,"Switzerland - France, 0 - 0",0,Group A,Regular
1694395,102,9291,4165470,3,Played,2016-06-19 19:00:00,"June 19, 2016 at 9:00:00 PM GMT+2",Groupama Stadium,"Romania - Albania, 0 - 1",8731,Group A,Regular
1694396,102,9291,4165470,1,Played,2016-06-11 16:00:00,"June 11, 2016 at 6:00:00 PM GMT+2",Stade Matmut-Atlantique,"Wales - Slovakia, 2 - 1",10682,Group B,Regular
1694397,102,9291,4165470,1,Played,2016-06-11 19:00:00,"June 11, 2016 at 9:00:00 PM GMT+2",Stade V\u00e9lodrome,"England - Russia, 1 - 1",0,Group B,Regular
1694398,102,9291,4165470,2,Played,2016-06-15 13:00:00,"June 15, 2016 at 3:00:00 PM GMT+2",Stade Pierre-Mauroy,"Russia - Slovakia, 1 - 2",14496,Group B,Regular
1694399,102,9291,4165470,2,Played,2016-06-16 13:00:00,"June 16, 2016 at 3:00:00 PM GMT+2",Stade Bollaert-Delelis,"England - Wales, 2 - 1",2413,Group B,Regular
1694400,102,9291,4165470,3,Played,2016-06-20 19:00:00,"June 20, 2016 at 9:00:00 PM GMT+2",Stade Geoffroy-Guichard,"Slovakia - England, 0 - 0",0,Group B,Regular
1694401,102,9291,4165470,3,Played,2016-06-20 19:00:00,"June 20, 2016 at 9:00:00 PM GMT+2",Stadium Municipal,"Russia - Wales, 0 - 3",10682,Group B,Regular
1694402,102,9291,4165470,1,Played,2016-06-12 16:00:00,"June 12, 2016 at 6:00:00 PM GMT+2",Allianz Riviera,"Poland - Northern Ireland, 1 - 0",13869,Group C,Regular
1694403,102,9291,4165470,1,Played,2016-06-12 19:00:00,"June 12, 2016 at 9:00:00 PM GMT+2",Stade Pierre-Mauroy,"Germany - Ukraine, 2 - 0",3148,Group C,Regular
1694404,102,9291,4165470,2,Played,2016-06-16 16:00:00,"June 16, 2016 at 6:00:00 PM GMT+2",Groupama Stadium,"Ukraine - Northern Ireland, 0 - 2",10962,Group C,Regular
