matchId,teamId,team,opponent_teamId,opponent_team,PPDA
1694390,4418,France,11944,Romania,0.965
1694390,11944,Romania,4418,France,1.601
1694391,6697,Switzerland,8731,Albania,1.732
1694391,8731,Albania,6697,Switzerland,2.533
1694392,6697,Switzerland,11944,Romania,0.911
1694392,11944,Romania,6697,Switzerland,1.912
1694393,4418,France,8731,Albania,1.123
1694393,8731,Albania,4418,France,1.882
1694394,4418,France,6697,Switzerland,1.907
1694394,6697,Switzerland,4418,France,1.304
1694395,8731,Albania,11944,Romania,2.178
1694395,11944,Romania,8731,Albania,0.936
1694396,10682,Wales,14496,Slovakia,1.748
1694396,14496,Slovakia,10682,Wales,1.255
1694397,2413,England,14358,Russia,1.72
1694397,14358,Russia,2413,England,1.608
1694398,14358,Russia,14496,Slovakia,1.295
1694398,14496,Slovakia,14358,Russia,2.086
1694399,2413,England,10682,Wales,0.819
1694399,10682,Wales,2413,England,1.83
1694400,2413,England,14496,Slovakia,1.693
1694400,14496,Slovakia,2413,England,3.723
1694401,10682,Wales,14358,Russia,2.346
1694401,14358,Russia,10682,Wales,2.436
1694402,10962,Northern Ireland,13869,Poland,1.987
1694402,13869,Poland,10962,Northern Ireland,1.206
1694403,3148,Germany,14622,Ukraine,1.402
1694403,14622,Ukraine,3148,Germany,3.712
1694404,10962,Northern Ireland,14622,Ukraine,2.249
1694404,14622,Ukraine,10962,Northern Ireland,0.798
1694405,3148,Germany,13869,Poland,0.932
1694405,13869,Poland,3148,Germany,2.014
1694406,13869,Poland,14622,Ukraine,2.502
1694406,14622,Ukraine,13869,Poland,1.016
1694407,3148,Germany,10962,Northern Ireland,0.893
1694407,10962,Northern Ireland,3148,Germany,3.2
1694408,4687,Turkey,9598,Croatia,1.21
1694408,9598,Croatia,4687,Turkey,1.612
1694409,1598,Spain,11555,Czech Republic,1.046
1694409,11555,Czech Republic,1598,Spain,3.616
1694410,9598,Croatia,11555,Czech Republic,1.259
1694410,11555,Czech Republic,9598,Croatia,1.741
1694411,1598,Spain,4687,Turkey,1.986
1694411,4687,Turkey,1598,Spain,2.927
1694412,1598,Spain,9598,Croatia,1.225
1694412,9598,Croatia,1598,Spain,2.986
1694413,4687,Turkey,11555,Czech Republic,1.677
1694413,11555,Czech Republic,4687,Turkey,1.235
1694414,7047,Sweden,8274,Republic of Ireland,0.75
1694414,8274,Republic of Ireland,7047,Sweden,2.209
1694415,3757,Italy,5629,Belgium,2.691
1694415,5629,Belgium,3757,Italy,1.613
1694416,3757,Italy,7047,Sweden,1.978
1694416,7047,Sweden,3757,Italy,2.069
1694417,5629,Belgium,8274,Republic of Ireland,1.523
1694417,8274,Republic of Ireland,5629,Belgium,2.114
1694418,3757,Italy,8274,Republic of Ireland,1.13
1694418,8274,Republic of Ireland,3757,Italy,1.201
1694419,5629,Belgium,7047,Sweden,1.523
1694419,7047,Sweden,5629,Belgium,1.789
1694420,9109,Austria,10451,Hungary,1.555
1694420,10451,Hungary,9109,Austria,1.784
1694421,7839,Iceland,9905,Portugal,2.643
1694421,9905,Portugal,7839,Iceland,0.85
1694422,7839,Iceland,10451,Hungary,2.52
1694422,10451,Hungary,7839,Iceland,0.848
1694423,9109,Austria,9905,Portugal,2.123
1694423,9905,Portugal,9109,Austria,1.408
1694424,9905,Portugal,10451,Hungary,1.453
1694424,10451,Hungary,9905,Portugal,2.762
1694425,7839,Iceland,9109,Austria,2.569
1694425,9109,Austria,7839,Iceland,0.964
1694426,6697,Switzerland,13869,Poland,1.852
1694426,13869,Poland,6697,Switzerland,2.289
1694427,10682,Wales,10962,Northern Ireland,0.938
1694427,10962,Northern Ireland,10682,Wales,1.391
1694428,9598,Croatia,9905,Portugal,1.443
1694428,9905,Portugal,9598,Croatia,1.957
1694429,4418,France,8274,Republic of Ireland,0.927
1694429,8274,Republic of Ireland,4418,France,2.027
1694430,3148,Germany,14496,Slovakia,1.689
1694430,14496,Slovakia,3148,Germany,2.511
1694431,5629,Belgium,10451,Hungary,2.333
1694431,10451,Hungary,5629,Belgium,2.14
1694432,1598,Spain,3757,Italy,1.638
1694432,3757,Italy,1598,Spain,2.351
1694433,2413,England,7839,Iceland,0.846
1694433,7839,Iceland,2413,England,2.187
1694434,9905,Portugal,13869,Poland,2.258
1694434,13869,Poland,9905,Portugal,1.849
1694435,5629,Belgium,10682,Wales,1.741
1694435,10682,Wales,5629,Belgium,2.227
1694436,3148,Germany,3757,Italy,2.187
1694436,3757,Italy,3148,Germany,3.665
1694437,4418,France,7839,Iceland,1.84
1694437,7839,Iceland,4418,France,3.089
1694438,9905,Portugal,10682,Wales,2.696
1694438,10682,Wales,9905,Portugal,2.206
1694439,3148,Germany,4418,France,1.292
1694439,4418,France,3148,Germany,3.141
