matchId,pressing_teamId,opponent_teamId,zone,opponent_passes,defensive_actions,PPDA_zone,opponent_passes_all,defensive_actions_all,PPDA_overall,pressing_team,opponent_team
1694390,4418,11944,ATT_THIRD,68,80,0.85,279,289,0.965,France,Romania
1694390,4418,11944,DEF_THIRD,71,112,0.634,279,289,0.965,France,Romania
1694390,4418,11944,MID_THIRD,140,97,1.443,279,289,0.965,France,Romania
1694390,11944,4418,ATT_THIRD,129,95,1.358,501,313,1.601,Romania,France
1694390,11944,4418,DEF_THIRD,134,109,1.229,501,313,1.601,Romania,France
1694390,11944,4418,MID_THIRD,238,109,2.183,501,313,1.601,Romania,France
1694391,6697,8731,ATT_THIRD,63,64,0.984,388,224,1.732,Switzerland,Albania
1694391,6697,8731,DEF_THIRD,145,96,1.51,388,224,1.732,Switzerland,Albania
1694391,6697,8731,MID_THIRD,180,64,2.813,388,224,1.732,Switzerland,Albania
1694391,8731,6697,ATT_THIRD,104,79,1.316,532,210,2.533,Albania,Switzerland
1694391,8731,6697,DEF_THIRD,123,66,1.864,532,210,2.533,Albania,Switzerland
1694391,8731,6697,MID_THIRD,305,65,4.692,532,210,2.533,Albania,Switzerland
1694392,6697,11944,ATT_THIRD,71,75,0.947,245,269,0.911,Switzerland,Romania
1694392,6697,11944,DEF_THIRD,83,96,0.865,245,269,0.911,Switzerland,Romania
1694392,6697,11944,MID_THIRD,91,98,0.929,245,269,0.911,Switzerland,Romania
1694392,11944,6697,ATT_THIRD,106,75,1.413,520,272,1.912,Romania,Switzerland
1694392,11944,6697,DEF_THIRD,153,101,1.515,520,272,1.912,Romania,Switzerland
1694392,11944,6697,MID_THIRD,261,96,2.719,520,272,1.912,Romania,Switzerland
1694393,4418,8731,ATT_THIRD,43,109,0.394,320,285,1.123,France,Albania
1694393,4418,8731,DEF_THIRD,103,60,1.717,320,285,1.123,France,Albania
1694393,4418,8731,MID_THIRD,174,116,1.5,320,285,1.123,France,Albania
1694393,8731,4418,ATT_THIRD,133,49,2.714,495,263,1.882,Albania,France
1694393,8731,4418,DEF_THIRD,102,108,0.944,495,263,1.882,Albania,France
1694393,8731,4418,MID_THIRD,260,106,2.453,495,263,1.882,Albania,France
1694394,4418,6697,ATT_THIRD,115,98,1.173,492,258,1.907,France,Switzerland
1694394,4418,6697,DEF_THIRD,177,89,1.989,492,258,1.907,France,Switzerland
1694394,4418,6697,MID_THIRD,200,71,2.817,492,258,1.907,France,Switzerland
1694394,6697,4418,ATT_THIRD,91,82,1.11,330,253,1.304,Switzerland,France
1694394,6697,4418,DEF_THIRD,74,107,0.692,330,253,1.304,Switzerland,France
1694394,6697,4418,MID_THIRD,165,64,2.578,330,253,1.304,Switzerland,France
1694395,8731,11944,ATT_THIRD,112,65,1.723,501,230,2.178,Albania,Romania
1694395,8731,11944,DEF_THIRD,104,78,1.333,501,230,2.178,Albania,Romania
1694395,8731,11944,MID_THIRD,285,87,3.276,501,230,2.178,Albania,Romania
1694395,11944,8731,ATT_THIRD,57,86,0.663,265,283,0.936,Romania,Albania
1694395,11944,8731,DEF_THIRD,104,86,1.209,265,283,0.936,Romania,Albania
1694395,11944,8731,MID_THIRD,104,111,0.937,265,283,0.936,Romania,Albania
1694396,10682,14496,ATT_THIRD,90,91,0.989,465,266,1.748,Wales,Slovakia
1694396,10682,14496,DEF_THIRD,150,86,1.744,465,266,1.748,Wales,Slovakia
1694396,10682,14496,MID_THIRD,225,89,2.528,465,266,1.748,Wales,Slovakia
1694396,14496,10682,ATT_THIRD,59,80,0.738,340,271,1.255,Slovakia,Wales
1694396,14496,10682,DEF_THIRD,122,102,1.196,340,271,1.255,Slovakia,Wales
1694396,14496,10682,MID_THIRD,159,89,1.787,340,271,1.255,Slovakia,Wales
1694397,2413,14358,ATT_THIRD,65,82,0.793,387,225,1.72,England,Russia
1694397,2413,14358,DEF_THIRD,116,81,1.432,387,225,1.72,England,Russia
1694397,2413,14358,MID_THIRD,206,62,3.323,387,225,1.72,England,Russia
1694397,14358,2413,ATT_THIRD,97,80,1.212,426,265,1.608,Russia,England
1694397,14358,2413,DEF_THIRD,134,102,1.314,426,265,1.608,Russia,England
1694397,14358,2413,MID_THIRD,195,83,2.349,426,265,1.608,Russia,England
1694398,14358,14496,ATT_THIRD,57,80,0.713,268,207,1.295,Russia,Slovakia
1694398,14358,14496,DEF_THIRD,98,45,2.178,268,207,1.295,Russia,Slovakia
1694398,14358,14496,MID_THIRD,113,82,1.378,268,207,1.295,Russia,Slovakia
1694398,14496,14358,ATT_THIRD,109,36,3.028,532,255,2.086,Slovakia,Russia
1694398,14496,14358,DEF_THIRD,137,123,1.114,532,255,2.086,Slovakia,Russia
1694398,14496,14358,MID_THIRD,286,96,2.979,532,255,2.086,Slovakia,Russia
1694399,2413,10682,ATT_THIRD,45,107,0.421,195,238,0.819,England,Wales
1694399,2413,10682,DEF_THIRD,83,71,1.169,195,238,0.819,England,Wales
1694399,2413,10682,MID_THIRD,67,60,1.117,195,238,0.819,England,Wales
